step,bestK_pos_mm,bestK_ori_deg,mean_pos_mm,mean_ori_deg,pct_submm,pct_subdeg,diversity,distinct_modes
39,3.683355182520324,3.8812247042369576,24.79975557874125,18.407798418455357,89.404296875,90.576171875,0.6464532128791093,nan
40,3.68590701106082,3.8481552511209163,24.74137813696118,18.400714619334643,89.501953125,90.625,0.6463717715098428,8.793806030969845
41,3.687363571622485,3.8474362452769792,24.707997834851007,18.4102061665146,89.599609375,90.576171875,0.6465939801487662,nan
42,3.6833231799971227,3.848338748303881,24.71513868459854,18.397707442572703,89.697265625,90.576171875,0.6463277299536918,nan
43,3.67955932928301,3.8462898988921603,24.643134317126425,18.377758599347278,89.74609375,90.625,0.6463540536929532,nan
44,3.6772307388289187,3.845001424473001,24.615554127321126,18.37167472794807,89.74609375,90.625,0.6464072507072539,nan
45,3.676887072314515,3.841854160680744,24.487948074919444,18.349537257809764,89.74609375,90.625,0.646440538863045,8.812550937245314
46,3.6783950675649337,3.837935700422293,24.481525406423604,18.358913795330253,89.74609375,90.625,0.6464109547656817,nan
47,3.674309675929434,3.9238290560287825,24.409302105911898,18.33200965625902,89.794921875,90.576171875,0.6463781085384287,nan
48,3.676094614890725,3.838080880012526,24.443470186714666,18.318555776106603,89.794921875,90.625,0.6462924693212719,nan
49,3.6826377872443357,3.8349654403595435,24.329291322774587,18.279589885982265,89.84375,90.625,0.6465278044815538,nan
50,3.686023528748528,3.832556760223858,24.285358674923966,18.276361251109027,89.84375,90.625,0.6462637078341591,8.82885085574572
